head_cam_distance,gaze_distance,face_detection_confidence,engagement
3.019131071797959294e+02,3.248959986084532403e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.390972144774750632e+02,2.179055897108750273e+01,9.799999999999999822e-01,1.000000000000000000e+00
4.004578130090609989e+02,8.549578308625105194e+01,8.800000000000000044e-01,1.000000000000000000e+00
4.353130482767545573e+02,2.175469591867644397e+02,9.799999999999999822e-01,1.000000000000000000e+00
4.353130482767545573e+02,2.175469591867644397e+02,9.799999999999999822e-01,1.000000000000000000e+00
4.434082923446987365e+02,2.245715602280491225e+02,9.300000000000000488e-01,1.000000000000000000e+00
4.650736541551979712e+02,2.111391031598428754e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.856112809553163743e+02,1.016514424107628969e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.811584041718757589e+02,9.534682438843599073e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.646431773356168264e+02,9.696112219692291490e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.812460292019100052e+02,1.572645740325751831e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.442848529924022500e+02,1.142751072119265245e+02,9.050000000000000266e-01,1.000000000000000000e+00
2.942761852545155534e+02,1.127747561025148428e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.619706245128265891e+02,1.350840869763761418e+02,9.050000000000000266e-01,1.000000000000000000e+00
2.604829093577379808e+02,1.792487564997296943e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.616085183248023327e+02,1.939640658210399238e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.679577205456114939e+02,2.032045116655518768e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.288290597804395929e+03,6.285977443706711711e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.282999906195867879e+03,6.251240439575744858e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.223146279487239099e+03,5.979988459918442459e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.180942114811333340e+03,5.902736188963142922e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.163933459576191126e+03,5.926092606788423836e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.181313648480300799e+03,5.975655578392294956e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.210657544838104059e+03,6.069038996087666419e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.239305728156924033e+03,6.225312569216429438e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.228671616087308848e+03,6.245136843931048134e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.202054936052104040e+03,6.107434959695710859e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.188802170014811963e+03,5.924150289179728134e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.199602159310367824e+03,6.012489681326248501e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.218720511846913269e+03,6.142239522721903995e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.228345311477538417e+03,6.150186719495167381e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.214653125071934028e+03,6.087919409610103685e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.202339550665104071e+03,6.040260265517823427e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.200125387149624657e+03,6.028275759283210391e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.185200548092239842e+03,5.957591815230046450e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.195217414538479716e+03,6.059023532924453320e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.170735016071745122e+03,5.878311801437807844e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.141782346551581213e+03,5.760676924669920481e+03,9.799999999999999822e-01,1.000000000000000000e+00
2.159181746945733721e+03,5.936055440426789573e+03,9.799999999999999822e-01,1.000000000000000000e+00
3.104036762898919051e+02,1.130070758568935787e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.117945716193523822e+02,1.429711428811077951e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.950155426583062876e+02,1.465907614097656904e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.828560636853221695e+02,1.443637234350096605e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.947851336981969439e+02,1.199783910085639604e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.041917487075153872e+02,1.190132808894284437e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.033588764732207324e+02,1.261267572933212904e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.837765730158956217e+02,1.495452383109765151e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.641935220186624065e+02,1.416378930132148071e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.397178298001869337e+02,9.497828508744481724e+01,9.300000000000000488e-01,1.000000000000000000e+00
2.292992221697313937e+02,8.507775295056404730e+01,9.300000000000000488e-01,1.000000000000000000e+00
2.184882945723121566e+02,8.243145654427934232e+01,9.300000000000000488e-01,1.000000000000000000e+00
2.361039250322187399e+02,8.783027639491326966e+01,9.300000000000000488e-01,1.000000000000000000e+00
2.516828359057396653e+02,8.823064800417019171e+01,9.300000000000000488e-01,1.000000000000000000e+00
2.587324873300606782e+02,8.758818851570546826e+01,8.800000000000000044e-01,1.000000000000000000e+00
2.525847530475124074e+02,8.824172601775238434e+01,8.800000000000000044e-01,1.000000000000000000e+00
2.402411835770926984e+02,7.413012962582774890e+01,8.800000000000000044e-01,1.000000000000000000e+00
2.409217309247791547e+02,5.415392880106088569e+01,8.800000000000000044e-01,1.000000000000000000e+00
2.563979835402328149e+02,5.294250128350356022e+01,8.800000000000000044e-01,1.000000000000000000e+00
2.575079455854756816e+02,6.648503863854753604e+01,8.800000000000000044e-01,1.000000000000000000e+00
2.524771670848438134e+02,1.053439022047596865e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.696157347019341159e+02,8.553023345190564442e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.010519047426903967e+02,2.587824382150957092e+01,9.549999999999999600e-01,1.000000000000000000e+00
3.227530981171766484e+02,2.249008515793853391e+01,9.300000000000000488e-01,1.000000000000000000e+00
3.212686871861114923e+02,2.202231517209069267e+01,9.799999999999999822e-01,1.000000000000000000e+00
2.907418422137129141e+02,2.462638241018205676e+01,9.799999999999999822e-01,1.000000000000000000e+00
2.767296152404585428e+02,9.437394360988606934e+01,9.799999999999999822e-01,1.000000000000000000e+00
2.765682438180526219e+02,1.007488659092688010e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.888130797860013672e+02,9.972606198434471025e+01,9.300000000000000488e-01,1.000000000000000000e+00
3.034796857586114811e+02,9.671812470364318415e+01,9.300000000000000488e-01,1.000000000000000000e+00
3.108336693474501544e+02,9.528568727091386847e+01,9.300000000000000488e-01,1.000000000000000000e+00
3.152417764210957216e+02,9.242714414716493820e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.163737771010261213e+02,1.203516557290383560e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.141836506364954289e+02,1.061980111586573940e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.156465675534004731e+02,1.010260105455032402e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.155842753870183515e+02,1.012909306706728785e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.990877393702365339e+02,1.058651745828912709e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.747123918266332794e+02,1.592083565665367644e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.694788739556978499e+02,1.938820708478648669e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.647113778162039353e+02,1.979621820394772271e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.660169238713361892e+02,1.389963323093774079e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.792490804709811982e+02,9.723843135526031745e+01,9.799999999999999822e-01,1.000000000000000000e+00
2.839761455770241128e+02,7.520003261942527217e+01,9.799999999999999822e-01,1.000000000000000000e+00
2.888732413834940189e+02,7.338578685280715774e+01,9.799999999999999822e-01,1.000000000000000000e+00
2.936826222768366392e+02,1.641934665793384340e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.036131215548106184e+02,1.770009542509154130e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.047809295205209992e+02,1.191277411915997817e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.112275863811285035e+02,9.018017912364796018e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.157594851953622310e+02,9.429940071037826499e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.152472204476987940e+02,9.468090955050227819e+01,9.300000000000000488e-01,1.000000000000000000e+00
3.002888953504177607e+02,1.437142591760751884e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.002888953504177607e+02,1.699964628977662358e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.166469389434299728e+02,1.778868018272724498e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.272864487408401146e+02,1.636857108777429630e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.247833380177336267e+02,1.471577133746224035e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.185474219013551647e+02,9.168325966734654742e+01,8.800000000000000044e-01,1.000000000000000000e+00
3.387888561244756147e+02,4.075950589553622905e+01,9.549999999999999600e-01,1.000000000000000000e+00
2.773220107581734624e+02,4.300437750052867614e+01,9.799999999999999822e-01,1.000000000000000000e+00
2.043941221809445210e+02,8.692774462678040948e+01,9.799999999999999822e-01,1.000000000000000000e+00
2.035825854350829047e+02,8.877707683435853880e+01,9.300000000000000488e-01,1.000000000000000000e+00
2.101965960441939956e+02,9.453143844526742612e+01,9.300000000000000488e-01,1.000000000000000000e+00
2.368282059773874266e+02,1.100915385976545764e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.785510063807317920e+02,1.187294846008389300e+02,9.549999999999999600e-01,1.000000000000000000e+00
2.863821682808413698e+02,1.218608553156818033e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.809176288444245984e+02,8.530691739582020716e+01,9.799999999999999822e-01,1.000000000000000000e+00
2.830654191452329087e+02,6.499032842264088572e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.001881264274766181e+02,1.736449237750502448e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.041943211023223057e+02,1.612362068280686174e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.046983196689424744e+02,1.095937752862296435e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.075929474817114055e+02,1.035788909086755751e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.094235635508208588e+02,1.137893205133432701e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.133306457816337911e+02,1.206815534263487280e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.199515741766153951e+02,1.045858201327365720e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.230800255046464713e+02,9.802624875640741209e+01,9.300000000000000488e-01,1.000000000000000000e+00
3.284918208104956534e+02,9.736120563923540772e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.302959192080948583e+02,1.038741559988284280e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.275427415401453572e+02,1.117604712622079290e+02,9.549999999999999600e-01,1.000000000000000000e+00
3.208347139156794583e+02,4.867795995678544330e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.237441651743723696e+02,4.476825318210425309e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.402051847479277171e+02,1.341068333115841256e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.441139528142313111e+02,1.389834235503299169e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.433379018017133149e+02,1.383471597576763088e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.440024707253299994e+02,1.369556106139702933e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.451986722575211957e+02,1.228176952345230859e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.434305332425306574e+02,1.035283283248580517e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.369591591936712689e+02,1.025718046855259189e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.388469640494248551e+02,1.142756040579518668e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.484296388683070518e+02,1.247988530200719453e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.441129216270442157e+02,1.378627482554665562e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.811416913239916084e+02,1.455354092578109828e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.813644780527166063e+02,1.913628145431941618e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.001700072351601420e+02,1.900062435334211841e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.031910759187450140e+02,1.478953491160586111e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.034463944747921573e+02,1.265416611885977147e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.034465179965152970e+02,9.170275949209299426e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.002384575196022638e+02,1.024372140077607156e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.704360169996585341e+02,1.242349340116568328e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.669436221137136158e+02,1.437309935435341686e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.601832406718037305e+02,1.472170803603243030e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.612399258559974555e+02,1.472170803603243030e+02,9.300000000000000488e-01,1.000000000000000000e+00
2.688410609722164395e+02,1.424750886872526792e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.738410617888916931e+02,1.732536127179076288e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.800558576756400839e+02,1.939937752173987917e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.754290584045968444e+02,1.919306031199800486e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.740483287848737177e+02,1.917189147652348424e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.790604970121927977e+02,2.023339238823923836e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.867630147990871592e+02,1.955944241131708168e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.912252380479871476e+02,1.937653545775197585e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.939357494244403597e+02,1.882601166150115546e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.917421772813415259e+02,1.928630311162540920e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.896995248854496481e+02,1.837837047665599925e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.826696308627430199e+02,1.609108236728086752e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.807558245273898478e+02,1.825845244580823135e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.807558245273898478e+02,1.993130192533208174e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.854544765655497258e+02,1.396554965130590062e+02,9.799999999999999822e-01,1.000000000000000000e+00
2.819915116950002130e+02,1.087062623216052799e+02,9.799999999999999822e-01,1.000000000000000000e+00
